prefix,fec
124.252.19.192/26,EquivalenceClass(124.252.19.192 - 124.252.19.255)
124.252.19.128/26,EquivalenceClass(124.252.19.128 - 124.252.19.191)
124.252.19.64/26,EquivalenceClass(124.252.19.64 - 124.252.19.127)
124.252.19.0/26,EquivalenceClass(124.252.19.0 - 124.252.19.63)
124.252.18.192/26,EquivalenceClass(124.252.18.192 - 124.252.18.255)
124.252.18.128/26,EquivalenceClass(124.252.18.128 - 124.252.18.191)
124.252.18.64/26,EquivalenceClass(124.252.18.64 - 124.252.18.127)
124.252.18.0/26,EquivalenceClass(124.252.18.0 - 124.252.18.63)
124.252.17.192/26,EquivalenceClass(124.252.17.192 - 124.252.17.255)
124.252.17.128/26,EquivalenceClass(124.252.17.128 - 124.252.17.191)
124.252.17.64/26,EquivalenceClass(124.252.17.64 - 124.252.17.127)
124.252.17.0/26,EquivalenceClass(124.252.17.0 - 124.252.17.63)
124.252.16.192/26,EquivalenceClass(124.252.16.192 - 124.252.16.255)
124.252.16.128/26,EquivalenceClass(124.252.16.128 - 124.252.16.191)
124.252.16.64/26,EquivalenceClass(124.252.16.64 - 124.252.16.127)
124.252.16.0/26,EquivalenceClass(124.252.16.0 - 124.252.16.63)
124.252.0.0/20,EquivalenceClass(124.252.0.0 - 124.252.15.255)
124.70.158.26/31,EquivalenceClass(124.70.158.26 - 124.70.158.27)
124.70.158.24/31,EquivalenceClass(124.70.158.24 - 124.70.158.25)
124.69.102.252/30,EquivalenceClass(124.69.102.252 - 124.69.255.255)
124.69.102.250/31,EquivalenceClass(124.69.102.250 - 124.69.102.251)
124.69.102.248/31,EquivalenceClass(124.69.102.248 - 124.69.102.249)
124.69.102.246/31,EquivalenceClass(124.69.102.246 - 124.69.102.247)
124.69.102.244/31,EquivalenceClass(124.69.102.244 - 124.69.102.245)
124.69.102.242/31,EquivalenceClass(124.69.102.242 - 124.69.102.243)
124.69.102.240/31,EquivalenceClass(124.69.102.240 - 124.69.102.241)
124.69.102.238/31,EquivalenceClass(124.69.102.238 - 124.69.102.239)
124.69.102.236/31,EquivalenceClass(124.69.102.236 - 124.69.102.237)
124.69.102.234/31,EquivalenceClass(124.69.102.234 - 124.69.102.235)
124.69.102.232/31,EquivalenceClass(124.69.102.232 - 124.69.102.233)
124.69.102.230/31,EquivalenceClass(124.69.102.230 - 124.69.102.231)
124.69.102.228/31,EquivalenceClass(124.69.102.228 - 124.69.102.229)
124.69.102.226/31,EquivalenceClass(124.69.102.226 - 124.69.102.227)
124.69.102.224/31,EquivalenceClass(124.69.102.224 - 124.69.102.225)
124.69.102.222/31,EquivalenceClass(124.69.102.222 - 124.69.102.223)
124.69.102.218/31,EquivalenceClass(124.69.102.218 - 124.69.102.221)
124.69.102.216/31,EquivalenceClass(124.69.102.216 - 124.69.102.217)
124.69.102.214/31,EquivalenceClass(124.69.102.214 - 124.69.102.215)
124.69.102.212/31,EquivalenceClass(124.69.102.212 - 124.69.102.213)
124.69.102.210/31,EquivalenceClass(124.69.102.210 - 124.69.102.211)
124.69.102.208/31,EquivalenceClass(124.69.102.208 - 124.69.102.209)
124.69.102.206/31,EquivalenceClass(124.69.102.206 - 124.69.102.207)
124.69.102.204/31,EquivalenceClass(124.69.102.204 - 124.69.102.205)
124.69.102.202/31,EquivalenceClass(124.69.102.202 - 124.69.102.203)
124.69.102.200/31,EquivalenceClass(124.69.102.200 - 124.69.102.201)
124.69.102.198/31,EquivalenceClass(124.69.102.198 - 124.69.102.199)
124.69.102.196/31,EquivalenceClass(124.69.102.196 - 124.69.102.197)
124.69.102.194/31,EquivalenceClass(124.69.102.194 - 124.69.102.195)
